file_year,title,school,dept,author,url
102,山･海･陶—陶藝運用於台東農產品容器之研究,國立臺東大學,進修部美術產業發展碩專(夜間班),李欣穎,https://hdl.handle.net/11296/b76hm8
102,臺東縣建和國民小學結合社區文化資源應用於本土教育之研究,國立臺東大學,社會科教育學系碩士班,古昀澤,https://hdl.handle.net/11296/8z3h5v
102,飯店/渡假村導入養生村概念之需求考量、行銷管道、住宿意願之關聯性研究：以臺東地區退休軍公教為例,國立臺東大學,綠色科技產業碩士專班,陳嘉村,https://hdl.handle.net/11296/86p3ay
102,創新育成中心陪伴地方企業之研究:以國立臺東大學為例,國立臺東大學,綠色科技產業碩士專班,楊春桂,https://hdl.handle.net/11296/x9dgn8
102,東部排灣族「ramaljeng」長者觀與生活型態之研究─ 以台東縣金峰鄉老人日間關懷站為例,國立政治大學,民族學系,陳雯琳,https://hdl.handle.net/11296/7x5ydk
102,自由的兩難：臺東池上慣行與有機稻作的交織政治(1984-2016),國立交通大學,人文社會學系族群與文化碩士班,劉亮佑,https://hdl.handle.net/11296/a345kq
103,鐵路號誌電子聯鎖安全系統之研製-以臺東知本間為例,國立宜蘭大學,電機資訊學院碩士在職專班,周志仁,https://hdl.handle.net/11296/uvw7ju
103,台東市召會家庭幼兒教育研究,國立臺東大學,幼兒教育學系碩士班,陳家信,https://hdl.handle.net/11296/aau33d
103,臺灣原住民族部落體驗之規劃設計-以台東縣排灣族新化部落（tjualjicaq）遊程為例,嶺東科技大學,觀光與休閒管理系碩士班,羅春芳,https://hdl.handle.net/11296/gzzep4
103,臺東光點個案執行評估之研究,國立臺北大學,公共行政暨政策學系碩士在職專班,陳秀珍,https://hdl.handle.net/11296/4ydwwm
103,以班表試排法評估鐵路路線容量:以臺鐵臺東線為例,國立成功大學,土木工程學系,蔡欣恬,https://hdl.handle.net/11296/z574jf
103,台東伊万里美食旅館的規劃與分析,國立東華大學,企業管理學系,王珠惠,https://hdl.handle.net/11296/hx3ehf
103,非營利組織志工顧客公民行為之研究:以臺東馬偕紀念醫院志工隊為例,國立東華大學,管理學院高階經營管理碩士在職專班,吳靜惠,https://hdl.handle.net/11296/e238kg
103,社區產業的跨域合作：以台東農村再生計畫示範點為例,國立東華大學,族群關係與文化學系,吳慧馨,https://hdl.handle.net/11296/thb4c4
103,原住民保留地獎勵造林政策執行與成效評估--以臺東縣為例,國立臺灣大學,森林環境暨資源學研究所,田詩涵,https://hdl.handle.net/11296/9q7z75
103,人格特質、休閒參與的涉入程度及幸福感對教學效能影響關係之研究-以臺東縣國中小教師為例,國立臺東大學,休閒事業管理碩士在職專班,胡治國,https://hdl.handle.net/11296/sh4sgx
103,以人格特質觀點探討國中生休閒動機及休閒參與之研究－以臺東縣國中為例,國立臺東大學,休閒事業管理碩士在職專班,黃羚雅,https://hdl.handle.net/11296/an7gmg
103,2014年臺東熱氣球嘉年華服務品質、 滿意度與重遊意願之實證研究,國立臺東大學,休閒事業管理碩士在職專班,高玟璇,https://hdl.handle.net/11296/3595tq
103,新住民子女的學業成就與學校適應 ～以臺東市希望國小為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,施慈惠,https://hdl.handle.net/11296/ru77fm
103,以計畫行為理論探討遊客對節慶活動 行為意圖之研究-以2014年 臺東熱氣球嘉年華為例,國立臺東大學,文化資源與休閒產業學系,張世弘,https://hdl.handle.net/11296/3cvm86
103,地方依附與環境關懷之研究-以臺東縣為例,國立臺東大學,身心整合與運動休閒產業學系,鄭敏玉,https://hdl.handle.net/11296/vp8vxb
103,臺東縣池上鄉有機米農作的發展與問題,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,黃崇智,https://hdl.handle.net/11296/j8awbr
103,台東地區新興農作物之水足跡研究-以咖啡為例,國立臺東大學,資訊管理學系碩士班,洪晨毓,https://hdl.handle.net/11296/hj2z3z
103,探討『火龍果』水足跡之研究─ 以台東地區為例,國立臺東大學,資訊管理學系碩士班,謝政融,https://hdl.handle.net/11296/y4zhx6
